Date/Time,Word Count,en,ru
2020.06.10-15.19.48,4,4,0
2020.06.10-15.20.35,4,4,4
2020.06.10-15.26.57,4,4,0
2020.06.10-15.30.47,4,4,4
2020.08.24-15.38.46,5,5,4
2020.08.24-15.39.26,5,5,5
